Country ID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year Available,"NOx emissions, latest year",% change since 1990,"Emissions, pc last year"
4.0,Afghanistan,,,,,,,,,,,,,,,,61.63,,,,,,,,66.0,,,,,,2013,66.0,,2.05
8.0,Albania,17.85,21.11,15.63,16.16,18.85,18.17,18.17,19.37,23.7,27.06,17.85,18.01,18.67,20.17,23.02,25.89,29.37,33.69,39.06,48.49,,,,,,,,,,2009,48.49,171.7,16.31
12.0,Algeria,,,,,242.0,,,,,,280.33,,,,,,,,,,,,,,,,,,,2000,280.33,,9.03
24.0,Angola,,,,,,,,,,,124.73,,,,,151.32,,,,,,,,,,,,,,2005,151.32,,7.79
28.0,Antigua and Barbuda,,,,,,,,,,,2.27,,,,,,,,,,,,,,,,,,,2000,2.27,,29.87
32.0,Argentina,509.26,,,,638.92,,,702.04,,,668.88,,,,,,,,,,1000.36,,1007.23,,,,,,,2012,1007.23,97.78,24.12
51.0,Armenia,76.59,,,,,,,,,,12.13,,,,,,15.07,,,,17.21,,,,,,,,,2010,17.21,-77.53,5.98
36.0,Australia,1620.79,1596.16,1642.04,1684.87,1686.93,1693.48,1745.08,1798.4,1835.62,1867.47,1875.88,1960.0,2040.07,2121.25,2174.58,2194.34,2204.69,2213.55,2265.98,2250.31,2340.34,2267.93,2438.47,2506.79,2527.13,2531.84,2588.3,2662.48,2721.85,2018,2721.85,67.93,109.32
40.0,Austria,216.37,225.94,214.48,205.89,197.52,196.73,214.48,200.68,212.37,204.1,209.69,220.39,227.95,239.31,238.65,244.39,234.49,226.82,213.42,199.59,200.5,192.3,187.18,186.34,177.71,174.66,168.39,160.06,149.0,2018,149.0,-31.14,16.76
31.0,Azerbaijan,0.08,,,,,,,,,,,,,,,0.01,0.01,0.02,0.01,0.01,0.01,4.72,4.0,,,,,,,2012,4.0,4900.0,0.43
48.0,Bahrain,,,,,57.46,,,,,,52.0,,,,,,,,,,,,,,,,,,,2000,52.0,,78.24
50.0,Bangladesh,,,,,,,,,,,,3.98,,,,3.95,,,,,,,,,,,,,,2005,3.95,,0.03
52.0,Barbados,2.38,,,,0.09,,,0.05,,,,,,,,,,,,,,,,,,,,,,1997,0.05,-97.9,0.19
112.0,Belarus,1.38,1.38,1.22,1.03,0.94,0.84,0.93,1.16,1.3,1.34,1.4,1.42,1.43,1.48,1.59,1.8,2.0,2.11,2.32,2.08,2.27,2.3,2.29,2.21,2.3,2.17,1.97,2.13,2.33,2018,2.33,69.41,0.25
56.0,Belgium,424.16,425.13,427.0,421.31,416.92,411.02,396.04,380.71,381.52,354.02,354.43,342.12,329.85,325.95,335.88,320.91,304.94,295.41,268.45,239.87,241.33,224.19,213.04,203.89,193.97,194.37,183.31,172.57,167.05,2018,167.05,-60.62,14.55
84.0,Belize,,,,,3.99,,,,,,0.06,,,0.03,,,0.03,,,0.03,,,,,,,,,,2009,0.03,,0.1
204.0,Benin,,,,,,50.58,,,,,24.96,,,,,,,,,,,,,,,,,,,2000,24.96,,3.64
64.0,Bhutan,,,,,0.72,,,,,,1.77,,,,,,,,,,,,,,,,,,,2000,1.77,,2.99
68.0,Bolivia (Plurinational State of),37.02,,,,48.38,,,,58.52,,52.74,,8.24,,13.42,,,,,,,,,,,,,,,2004,13.42,-63.74,1.48
70.0,Bosnia and Herzegovina,83.07,77.15,27.43,6.0,6.57,5.8,12.04,19.66,38.46,37.92,39.32,40.07,,,,,,,,,,,,73.0,79.0,,,,,2014,79.0,-4.9,22.69
72.0,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,8.43,,,,2015,8.43,,3.97
76.0,Brazil,1170.5,1239.1,1277.1,1319.4,1390.7,1469.9,1582.8,1626.6,1642.5,1669.8,1609.6,1625.9,1601.7,1645.4,1701.1,1724.0,1718.3,1787.5,1905.8,1817.9,1897.8,1938.6,2037.8,2127.8,2229.6,2077.6,,,,2015,2077.6,77.5,10.16
100.0,Bulgaria,257.33,188.28,180.25,178.73,169.52,171.97,169.7,161.93,165.03,150.29,144.36,153.89,145.11,159.42,155.35,157.07,155.42,160.24,154.42,135.2,139.23,148.59,136.47,121.2,128.49,136.3,127.74,130.86,121.98,2018,121.98,-52.6,17.3
854.0,Burkina Faso,,,,,8.37,,,,,,,,,,,,,6.05,,,,,,,,,,,,2007,6.05,,0.42
108.0,Burundi,,,,,,,,,12.44,,,,,,,,,,,,,,,,,,,,,1998,12.44,,2.01
132.0,Cabo Verde,,,,,,0.72,,,,,2.03,,,,,,,,,,,,,,,,,,,2000,2.03,,4.73
116.0,Cambodia,,,,,19.44,,,,,,25.08,,,,,,,,,,,,,,,,,,,2000,25.08,,2.06
120.0,Cameroon,,,,,250.0,,,,,,111.0,,,,,,,,,,,,,,,,,,,2000,111.0,,7.15
140.0,Central African Republic,,,,,51.25,,,,,,,,,296.7,296.7,296.7,0.6,0.6,0.6,0.3,0.3,,,,,,,,,2010,0.3,,0.07
148.0,Chad,,,,75.74,,,,,12.13,11.43,10.84,10.47,9.97,9.67,,,,,,,,,,,,,,,,2003,9.67,,1.03
152.0,Chile,130.1,,,162.33,104.3,,,,,,162.9,,,,,,301.75,,,,205.4,,,263.7,,,297.5,,,2016,297.5,128.67,16.34
170.0,Colombia,232.13,,,,275.0,,,,,,316.13,,,,332.01,,,,,,,,,,,,,,,2004,332.01,43.03,7.89
174.0,Comoros,,,,,0.05,,,,,,0.62,,,,,,,,,,,,,,,,,,,2000,0.62,,1.15
178.0,Congo,,,,,14.44,,,,,,11.62,,,,,,,,,,,,,,,,,,,2000,11.62,,3.72
188.0,Costa Rica,30.59,,,,,,25.22,,,,21.52,,,,,25.18,,,,,,,,,,,,,,2005,25.18,-17.7,5.87
384.0,Côte d’Ivoire,,,,,132.02,,,,,,276.22,,,,,,,,,,,,,,,,,,,2000,276.22,,16.79
191.0,Croatia,100.79,75.44,71.2,71.48,73.93,75.32,80.7,82.85,85.35,88.36,82.32,83.04,85.4,84.69,82.25,80.62,80.04,82.83,78.24,72.46,64.36,60.93,55.25,54.44,51.04,51.06,50.69,49.99,45.92,2018,45.92,-54.44,11.05
192.0,Cuba,139.69,,,,,,,,,,96.8,,83.82,,,,,,,,,,,,,,,,,2002,83.82,-40.0,7.48
196.0,Cyprus,16.99,17.22,19.32,19.66,20.82,19.71,20.31,20.58,20.94,21.39,22.7,22.06,22.11,22.4,21.94,22.03,21.86,22.08,20.66,20.49,19.09,21.88,22.0,16.81,17.88,15.55,15.22,15.22,14.8,2018,14.8,-12.89,12.45
203.0,Czechia,727.61,692.48,651.43,529.85,436.99,369.66,350.73,322.06,304.0,279.46,279.69,283.07,275.33,276.27,276.65,271.42,266.5,264.39,248.58,234.81,229.06,216.63,204.54,189.61,185.13,178.8,170.6,167.31,160.87,2018,160.87,-77.89,15.08
408.0,Democratic People's Republic of Korea,459.0,,,,318.0,,,,,,169.0,,159.0,,,,,,,,,,,,,,,,,2002,159.0,-65.36,6.81
180.0,Democratic Republic of the Congo,,,,,232.23,,,,,746.0,761.38,746.62,746.01,749.82,,,,,,,,,,,,,,,,2003,749.82,,14.58
208.0,Denmark,305.42,355.34,310.93,309.47,311.01,292.8,327.49,280.33,259.99,241.19,229.98,226.77,223.57,233.12,216.37,208.16,207.32,193.44,177.31,157.88,153.18,143.93,132.78,127.87,118.28,116.75,116.96,114.21,108.86,2018,108.86,-64.36,18.93
262.0,Djibouti,,,,,1.42,,,,,,1.89,,,,,,,,,,,,,,,,,,,2000,1.89,,2.63
212.0,Dominica,,,,,0.43,,,,,,0.58,0.68,0.67,0.61,0.58,0.63,,,,,,,,,,,,,,2005,0.63,,8.93
214.0,Dominican Republic,54.12,,,,77.9,,,,78.64,,92.96,,,,,,,,,,7.48,,,,,,,,,2010,7.48,-86.18,0.77
218.0,Ecuador,128.14,,,,,,,,,,,,,,,,,,,,212.02,,229.31,,,,,,,2012,229.31,78.96,14.82
818.0,Egypt,,,,,,,,,,,,,,,,399.42,,,,,,,,,,,,,,2005,399.42,,5.29
222.0,El Salvador,,,,,33.89,,,,,,,,,,,39.47,,,,,,,,,,,,,,2005,39.47,,6.52
232.0,Eritrea,,,,,0.3,,,,,,5.0,,,,,,,,,,,,,,,,,,,2000,5.0,,2.18
233.0,Estonia,95.56,87.9,58.38,49.72,52.98,50.06,53.61,53.56,50.64,45.6,43.89,45.36,45.08,46.08,44.61,41.29,40.24,45.37,41.46,38.25,45.02,44.01,41.35,37.67,39.76,39.36,39.67,41.28,42.15,2018,42.15,-55.89,31.86
748.0,Eswatini,,,,,19.88,,,,,,,,,,,,,,,,,,,,,,,,,1994,19.88,,21.9
231.0,Ethiopia,158.0,151.0,153.0,166.0,58.98,,,,,,,,,,,,,,,,,,,52.44,,,,,,2013,52.44,-66.81,0.55
242.0,Fiji,,,,,3.3,,,,,,,,,,11.49,,,,,,,,,,,,,,,2004,11.49,,14.05
246.0,Finland,298.29,290.01,282.18,286.33,286.83,265.71,270.07,264.44,250.37,245.67,234.7,237.82,234.36,242.39,228.76,199.85,215.97,204.55,187.66,170.77,179.46,163.7,154.68,150.96,143.15,132.17,127.62,124.02,119.8,2018,119.8,-59.84,21.69
250.0,France,2114.01,2170.11,2152.47,2046.52,1989.08,1945.48,1922.03,1856.53,1883.81,1831.4,1779.99,1743.49,1703.5,1658.63,1620.62,1576.67,1485.74,1419.86,1318.6,1241.17,1220.61,1157.4,1124.29,1108.55,1020.94,988.2,944.55,925.55,871.52,2018,871.52,-58.77,13.41
266.0,Gabon,,,,,3838.0,,,,,,7.54,,,,,,,,,,,,,,,,,,,2000,7.54,,6.14
270.0,Gambia,,,,2.34,,,,,,,3.84,,,,,,,,,,,,,,,,,,,2000,3.84,,2.92
268.0,Georgia,128.47,109.85,45.78,30.31,18.45,24.62,47.45,53.68,,,20.0,18.0,19.0,18.4,23.0,23.0,31.0,49.0,33.0,34.0,4.75,5.01,4.95,47.11,,,,,,2013,47.11,-63.33,11.64
276.0,Germany,2887.11,2657.63,2503.82,2400.99,2265.23,2213.55,2126.16,2050.17,2021.15,1986.09,1912.1,1849.72,1788.22,1743.08,1695.19,1640.62,1651.88,1600.84,1551.78,1455.3,1472.83,1454.68,1438.21,1438.28,1392.7,1364.08,1333.1,1283.88,1197.59,2018,1197.59,-58.52,14.41
288.0,Ghana,,,,,,,,,,,50.06,,,,,,,,,,,,,,,,,,,2000,50.06,,2.6
300.0,Greece,315.35,326.04,333.17,329.8,339.11,320.11,323.79,337.14,360.75,358.75,349.55,372.79,371.15,381.37,387.46,400.96,402.33,403.28,383.59,371.4,315.07,292.9,242.98,242.71,236.47,233.29,229.79,250.45,169.19,2018,169.19,-46.35,16.08
320.0,Guatemala,42.58,,,,46.06,,,,,,71.81,,,,,92.93,,,,,,,,,,,,,,2005,92.93,118.27,7.1
324.0,Guinea,,,,,28.67,,,,,,21.0,,,,,,,,,,,,,,,,,,,2000,21.0,,2.55
624.0,Guinea-Bissau,,,,,4.88,,,,,,,,,,,,,,,,7.06,,,,,,,,,2010,7.06,,4.64
328.0,Guyana,15.0,15.0,15.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,14.0,15.0,15.0,15.0,15.0,,,,,,,,,,,,,,,2004,15.0,0.0,20.11
332.0,Haiti,,,,,6.3,11.76,12.29,13.65,13.94,16.14,14.69,,,,,,,,,,,,,,,,,,,2000,14.69,,1.74
340.0,Honduras,,,,,,32.39,,,,,33.22,,,,,,,,,,,,,,,,,,,2000,33.22,,5.05
348.0,Hungary,245.11,214.7,192.93,192.5,191.43,189.38,192.6,194.66,194.68,198.67,186.23,186.27,178.93,182.6,180.36,176.86,169.56,165.56,159.89,148.81,145.56,136.0,127.95,125.59,123.83,125.85,118.74,119.89,119.14,2018,119.14,-51.39,12.27
352.0,Iceland,30.89,29.6,31.96,33.66,32.99,34.36,34.85,34.53,33.36,33.08,32.59,29.04,31.21,30.62,31.59,28.15,27.72,30.32,27.94,27.77,26.22,23.79,23.55,22.68,22.46,23.01,20.91,21.23,21.9,2018,21.9,-29.1,65.05
360.0,Indonesia,17.41,17.47,19.85,20.36,836.97,,,,,,84.67,,,,,,,,,,,,,,,,,,,2000,84.67,386.33,0.4
364.0,Iran (Islamic Republic of),,,,,1201.36,,,,,,600.76,,,,,,,,,,,,,,,,,,,2000,600.76,,9.15
372.0,Ireland,172.73,174.98,183.38,175.36,174.36,172.47,175.18,169.09,177.37,173.47,175.0,173.87,166.52,165.86,167.69,169.52,165.0,160.86,146.91,122.93,116.8,104.63,107.19,108.98,108.42,110.81,111.35,108.82,108.51,2018,108.51,-37.18,22.52
376.0,Israel,,,,,,,219.9,,,,236.67,,,206.59,195.51,196.51,191.3,192.41,183.84,167.32,163.42,158.1,179.71,147.09,127.2,120.03,104.63,98.17,94.68,2018,94.68,,11.3
380.0,Italy,2127.05,2194.19,2233.25,2129.41,2029.14,1990.8,1918.96,1841.48,1727.59,1629.43,1511.52,1480.7,1424.58,1402.11,1352.45,1296.34,1241.07,1175.09,1061.04,972.21,950.58,906.44,858.79,791.03,770.96,735.43,715.21,674.8,672.3,2018,672.3,-68.39,11.09
388.0,Jamaica,,,,,30.86,,,,,,,,,,,,64.76,55.41,66.57,46.37,42.24,,43.97,,,,,,,2012,43.97,,15.47
392.0,Japan,1976.83,2024.96,1996.19,1981.67,2017.96,2078.2,2063.99,2088.02,1991.29,2031.04,2040.45,2019.56,2066.8,2047.67,1978.3,1953.54,1869.76,1780.02,1646.32,1558.76,1562.23,1498.97,1452.81,1394.17,1339.15,1302.2,1421.69,1355.88,1316.62,2018,1316.62,-33.4,10.35
400.0,Jordan,,,,,74.65,,,,,,75.56,,,,,,116.0,,,,,,,,,,,,,2006,116.0,,19.36
398.0,Kazakhstan,713.56,663.09,653.26,581.86,485.29,452.14,408.89,381.03,357.43,276.48,318.36,330.62,353.8,390.84,419.77,450.36,484.25,494.84,478.48,481.48,526.82,521.71,535.11,548.08,593.17,588.59,593.44,630.91,653.88,2018,653.88,-8.36,35.69
404.0,Kenya,,,,,47.28,122.2,,,,,134.7,,,,,48.5,,,,,178.0,,,,,,,,,2010,178.0,,4.24
296.0,Kiribati,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1994,0.0,,0.0
414.0,Kuwait,,,,,113.0,,,,,,,,,,,,,,,,,,,,,,,,,1994,113.0,,68.1
417.0,Kyrgyzstan,78.66,67.76,56.48,45.18,34.27,22.74,23.83,25.68,23.2,22.13,20.81,19.13,20.1,20.51,21.36,21.75,23.25,31.94,33.82,35.85,31.66,,,,,,,,,2010,31.66,-59.76,5.84
